name,feedUrl
‎Apple Podcasts －《20 min. Yoga Sessions from YogaDownload.com》,http://feeds.feedburner.com/yogadownload
‎Apple Podcasts －《轻催眠 | 失眠治愈系》,http://www.ximalaya.com/album/11485439.xml
‎Apple Podcasts －《Meditation Oasis》,http://meditationoasis.libsyn.com/rss
‎Apple Podcasts －《EMCrit Podcast - Critical Care and Resuscitation》,https://feeds.podcastmirror.com/emcrit
‎Apple Podcasts －《海苔熊為你點歌》,https://open.firstory.me/rss/user/ck71a21p9cyyn0873praqzi93
‎Apple Podcasts －《The Genius Life》,https://thegeniuslife.libsyn.com/rss
‎Apple Podcasts －《Guided Sleep Meditations》,https://trackstorelaxpodcast.com/rss
‎Apple Podcasts －《黄帝内经与养生智慧》,http://rss.lizhi.fm/rss/71845.xml
‎Apple Podcasts －《The Meditation Podcast》,https://themeditationpodcast.com/tmp.xml
‎Apple Podcasts －《新催眠》,http://www.ximalaya.com/album/3322936.xml
‎Apple Podcasts －《轻松冥想》,http://rss.lizhi.fm/rss/1659976.xml
‎Apple Podcasts －《Health Report - Full program podcast》,http://www.abc.net.au/radionational/feed/2887248/podcast.xml
‎Apple Podcasts －《Fly with Lily》,http://www.ximalaya.com/album/6801738.xml
‎Apple Podcasts －《SaveMySex》,http://feeds.soundcloud.com/users/soundcloud:users:614183097/sounds.rss
‎Apple Podcasts －《Health Check》,https://podcasts.files.bbci.co.uk/p002vsyw.rss
‎Apple Podcasts －《PODRUNNER: Workout Music》,http://podrunner.wm.wizzard.tv/rss
‎Apple Podcasts －《AANEM Presents Nerve and Muscle Junction》,https://www.aanem.org/AANEMNew/media/AANEM/Audio/PhyFeed.xml
‎Apple Podcasts －《NEJM Resident 360 - Curbside Consults Podcast》,https://resident360.nejm.org/rss_channels/1.rss
‎Apple Podcasts －《コロナウィルス・インフォメーション fromニッポン放送》,https://www.omnycontent.com/d/playlist/67122501-9b17-4d77-84bd-a93d00dc791e/3c31cad9-230a-4a5f-b487-a9de001adcdd/9e80a48a-af38-4569-9c55-ab59008828b5/podcast.rss
‎Apple Podcasts －《Sex With Emily》,http://emilymorse.libsyn.com/rss
‎Apple Podcasts －《朋朋聊精油》,http://www.ximalaya.com/album/16124810.xml
